,Betweenness Centrality,Betweenness Centrality,Betweenness Centrality,Betweenness Centrality,Betweenness Centrality,Eigenvector Centrality,Eigenvector Centrality,Eigenvector Centrality,Eigenvector Centrality,Closeness Centrality,Closeness Centrality,Closeness Centrality,Closeness Centrality,PageRank,PageRank,PageRank,PageRank,Degree,Degree,Degree,Degree
,mean,std,min,max,count,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
community,,,,,,,,,,,,,,,,,,,,,
0,5591.237327077583,31304.117851405623,0.0,260009.33361001237,113,0.00024511481897283594,0.00033569543460868634,1.4412737636567191e-05,0.0025121185114783603,0.06513802342313142,0.0030950184042819674,0.05882599229609781,0.07508550662676357,0.000723559605797405,0.0006813729155896053,0.0002609768222447601,0.005459313143683963,3.6548672566371683,3.9387496010436953,1,30
1,10929.791770277767,51209.50161404335,0.0,322623.2649058478,65,0.004844609439974374,0.006813594953333459,1.1108107729034995e-06,0.04669879931779683,0.07187879831559314,0.0057431747279823656,0.05785226056164045,0.08302310465047569,0.0007060209795624947,0.0005734612472011297,0.0002826992642974131,0.0045056112647714735,3.5846153846153848,3.4950514467436116,1,27
2,2428.2907157676827,6089.181041850026,0.0,25297.402731775626,60,0.0018801196072119669,0.002299195773962276,3.3257862519185004e-05,0.01176168792938554,0.07052363494637319,0.00411975410123763,0.05910314655897695,0.0796485260770975,0.0006950453907926763,0.0005291165960679844,0.0002586243177791246,0.002856326777902128,3.466666666666667,3.0668631722843656,1,16
3,4701.158406714091,17889.946195556717,0.0,146902.70276663982,87,3.52314165806614e-05,5.91002661789187e-05,4.030325824196488e-08,0.0004528561735483336,0.058499531421866376,0.004166388503822166,0.04823868708370528,0.06733119279244741,0.0006994670324050263,0.0005544521868718077,0.0002701293899227044,0.003854896629388689,3.057471264367816,2.8747348587105543,1,20
4,6297.93750000002,12559.546836105326,0.0,42594.0,32,7.804628297018529e-08,3.7541104492038073e-07,3.270096116953877e-11,2.1155445660587595e-06,0.045435513464164856,0.0032939327660269223,0.04077664267471558,0.056532410574176156,0.0007025368427920904,0.00041491228066896233,0.0003880564666248211,0.0021094915709663495,3.65625,2.683394275672078,2,13
5,13874.028831820182,62801.00385197242,0.0,456596.1606446096,81,0.12619498042207075,0.13314970037435847,0.0058470646489298,1.0,0.08537968763292808,0.00469818436473,0.07557420257113658,0.09738684411173494,0.0007224047150385432,0.0006435884392623829,0.00024008567157557693,0.005351575536075745,4.049382716049383,4.174030529859302,1,34
6,12423.19725934269,41557.63258295344,0.0,237141.51932311,58,0.017460334452769472,0.02825106091309236,4.9100873134200655e-06,0.14489779470201083,0.07947875413161173,0.005486307497270577,0.06057862286034579,0.09356063128454419,0.0006997054408829129,0.0005645748887801905,0.0002505328301178903,0.0030544209941125613,3.5,3.378206728688223,1,18
7,14182.000750041472,71837.74181091005,0.0,497558.64545441855,89,0.0052125163371893315,0.007574454290071153,7.655930950045984e-05,0.057879812992722865,0.08846076839676395,0.007183781585833105,0.07170928392793345,0.10490554767415815,0.0007182244808284107,0.0005447861707152432,0.00023596563486475664,0.0041189088184248965,3.9213483146067416,3.529823325160017,1,27
8,16120.250082835935,78383.34736528351,0.0,508812.1016205674,100,4.6258011030751037e-05,0.0002694194210911038,9.734774859764872e-08,0.0026694370332382305,0.08350041115746493,0.006386162020776467,0.07141404899867845,0.1020704685797312,0.0007090403653682868,0.0005532502128042136,0.0002606868934491469,0.004904172326401392,3.29,3.0593291665812865,1,27
9,2171.2346739924515,4836.231257279693,0.0,22336.874196711957,56,0.0006312348796852242,0.0008457168821557226,2.950316330834261e-07,0.003279534162297062,0.07831900625835708,0.005555067704098525,0.06307236487699766,0.088115396676074,0.0007049212229433567,0.00039715462887270547,0.00027066191472369414,0.002147936759903628,3.482142857142857,2.3893024575733883,1,12
10,10683.288332910106,64682.937775281796,0.0,453586.88307450054,49,0.050756090242684467,0.06261616479555054,0.0011903107663820186,0.3072528649716762,0.08576747352436472,0.005241638152813699,0.0772190162132454,0.10008548226243054,0.0006956739372197282,0.0004063712119684305,0.0002497600636936421,0.0021941519373648373,3.63265306122449,2.5223490832870827,1,13
11,3565.774633721899,7691.311543577043,0.0,34980.23784673495,47,0.00012946589359376883,0.0003981806508742623,3.673169253770617e-07,0.002673624928673503,0.08015477629391023,0.005448763106918425,0.07191114750742143,0.09462553879310345,0.0007075405456622083,0.0003487875959159806,0.0003049392760129432,0.0018763579666502875,3.4680851063829787,2.041430272582641,1,10
12,12038.580432043838,61063.92435784224,0.0,492963.903021296,92,0.017137208497520245,0.022653888632834834,0.0009071227160157073,0.18495488611860214,0.08986024385703065,0.005381608117163154,0.07873353880638835,0.1035448448669762,0.0007072714687657551,0.0005577447717924166,0.00024566651689957036,0.0045910194639151485,3.7717391304347827,3.4897125448215567,1,28
13,19543.28565160823,58630.76073626427,0.0,350418.9357531756,73,4.656377627613072e-07,8.216874968324119e-07,2.507712604706287e-10,4.181815628048459e-06,0.0767903033425193,0.004973557037418132,0.06488708262134577,0.08851508851508852,0.000719862169771199,0.000500721263484429,0.00027990880909541745,0.003215070267719159,3.356164383561644,2.9029193304791305,1,18
14,8794.259217614408,35076.68216731323,0.0,226772.6196031656,89,9.915865522147054e-10,3.055348059168697e-09,2.746755644015135e-11,2.6885913655734644e-08,0.06362409263121202,0.00350474628159432,0.05808665453944104,0.07510156082959162,0.0007186892446908497,0.0006345983026016092,0.0002615345270173408,0.0048113095484156815,3.4157303370786516,3.4993797786960013,1,26
15,12477.244779453622,65821.6536659982,0.0,412643.03055310517,77,5.9368036410895945e-06,8.410778962839972e-06,4.59028271625897e-08,4.095281945472277e-05,0.08225628741556625,0.005349083184108964,0.07101698342094621,0.09579980908223101,0.0007120835096302644,0.0004583303260951294,0.0002583098304660772,0.002971253377675361,3.4675324675324677,2.6436837117951417,1,16
16,0.8,0.6390096504226938,0.3333333333333333,1.5,5,0.0,0.0,0.0,0.0,0.72,0.07302967433402219,0.6666666666666666,0.8,0.000708641887822315,0.0001486118356217151,0.0006001111482454571,0.0008714379971870907,2.4,0.5477225575051661,2,3
17,3493.867293597625,6781.290313643456,0.0,25604.48385895132,29,4.854916802027978e-08,1.3237169262990188e-07,3.2982679497885657e-10,5.83558402042981e-07,0.07091056051138751,0.004615783776956705,0.06433150183150182,0.08245305164319248,0.0006862664248095067,0.0003516140521295154,0.0002866564570944743,0.0016898466438040806,3.310344827586207,1.9839255508040128,1,9
18,2772.67880233536,6483.474881288684,0.0,28070.286381093996,38,4.480707282515902e-08,9.917753854682944e-08,9.926882789277688e-10,4.5185706528706626e-07,0.07071568132677279,0.0037153884814907254,0.06404120515976115,0.08114820376573871,0.0006959184445840434,0.0005000562181410974,0.00026224620522834945,0.0023851164549558925,3.289473684210526,2.874942018093038,1,13
19,3545.0690608421774,4352.386575070134,0.0,12966.361693191691,16,1.527529465267938e-07,4.298427840048847e-07,3.494723904559569e-10,1.718683655774681e-06,0.06855910160573889,0.007341712682232054,0.060670178771914676,0.08468957203134418,0.000675060538326502,0.0003774565065874199,0.00029841202792550947,0.001808148185900838,2.875,1.7841898254763513,1,8
20,5306.591609977324,7686.85970766013,0.0,24152.47414905356,21,1.8831909735509703e-14,6.657673540544222e-14,0.0,3.0553968046237244e-13,0.04330343560579505,0.003739070347543928,0.03818349820632677,0.05188522471287714,0.0006734207630838116,0.00014658777454957408,0.00048335896777142157,0.0010260285421013705,2.380952380952381,0.5895922723535711,2,4
21,10262.76156546673,36635.48968195552,0.0,175450.14199341513,64,1.6841123998201118e-11,5.699353756694362e-11,2.6805554064341174e-17,3.262566293451027e-10,0.05248151867621747,0.004379577152762346,0.04115286605547582,0.0631489055687896,0.0006972701482524323,0.00036681650796185086,0.0002554909147043931,0.0023050909009455275,3.265625,2.219982750540736,1,13
22,2989.565395246754,13890.714531962401,0.0,110561.57219934305,70,2.880148221896863e-13,3.303740311767893e-13,1.1577867250680464e-14,2.19984033234315e-12,0.049780460849821115,0.0016021281206554947,0.04704188569324003,0.054645871416903274,0.000722717473738889,0.0005663637911261706,0.00025639442707052116,0.0035907875413925595,3.8714285714285714,3.550551819008096,1,22
23,0.0,,0.0,0.0,1,9.505492066139303e-20,,9.505492066139303e-20,9.505492066139303e-20,,,,,0.00010629628317391002,,0.00010629628317391002,0.00010629628317391002,0.0,,0,0
